,Path,Total_latency,Total_noise,Signal_noise_ratio
240,E->F->D->B->A,0.008880354892682232,4.465890975892175e-06,21.66013030065086
241,E->F->D->C->A,0.009225757961911291,4.465890975892175e-06,21.66013030065086
242,E->C->A->B,0.005911331649703164,2.9772606505947828e-06,23.45716306301888
243,E->C->A->D->B,0.008110582242233186,4.093733394567826e-06,22.064057614826496
244,E->C->A->D->F->B,0.010138996054928783,5.024127347878696e-06,21.180616382347242
245,E->C->D->A->B,0.0072472665274294955,3.7215758132434783e-06,22.510318232750784
246,E->C->D->B,0.005635994422021645,2.9772606505947828e-06,23.45716306301888
247,E->C->D->F->B,0.0076644082347172415,3.907654603905652e-06,22.28145848803562
248,E->D->A->B,0.005579513450500135,2.7911818599326087e-06,23.759705598833783
249,E->D->B,0.0039682413450922846,2.046866697283913e-06,25.074357571466308
250,E->D->C->A->B,0.00785162591944587,3.907654603905652e-06,22.28145848803562
251,E->D->F->B,0.005996655157787882,2.9772606505947828e-06,23.45716306301888
252,E->F->B,0.005231949653192371,2.605103069270435e-06,23.959740826408414
253,E->F->D->A->B,0.00872263624552782,4.2798121852300005e-06,21.85777660130812
254,E->F->D->B,0.00711136414011997,3.5354970225813046e-06,22.659474268912586
255,E->F->D->C->A->B,0.010994748714473554,5.396284929203044e-06,20.848271659617858
256,E->C,0.001768990752562263,9.303939533108696e-07,28.53091814603041
257,E->D->A->C,0.0061838728425165105,2.9772606505947828e-06,23.45716306301888
258,E->D->B->A->C,0.008110582242233186,4.093733394567826e-06,22.064057614826496
259,E->D->C,0.003709285022304969,1.8607879066217391e-06,25.520618189390596
260,E->D->F->B->A->C,0.010138996054928783,5.024127347878696e-06,21.180616382347242
261,E->F->B->A->C,0.009374290550333272,4.651969766554349e-06,21.471088656857372
262,E->F->B->A->D->C,0.010710225428059604,5.396284929203044e-06,20.848271659617858
263,E->F->B->D->A->C,0.011573541142863294,5.768442510527392e-06,20.53900514564361
264,E->F->B->D->C,0.009098953322651752,4.651969766554349e-06,21.471088656857372
265,E->F->D->A->C,0.009326995637544196,4.465890975892175e-06,21.66013030065086
266,E->F->D->B->A->C,0.01125370503726087,5.582363719865218e-06,20.69088607736071
267,E->F->D->C,0.006852407817332653,3.3494182319191305e-06,22.90975783270772
268,E->C->A->B->D,0.007974311645826513,4.093733394567826e-06,22.064057614826496
269,E->C->A->B->F->D,0.010002725458522111,5.024127347878696e-06,21.180616382347242
270,E->C->A->D,0.006047602246109837,2.9772606505947828e-06,23.45716306301888
271,E->C->D,0.003573014425898296,1.8607879066217391e-06,25.520618189390596
272,E->D,0.001905261348968936,9.303939533108696e-07,28.53091814603041
273,E->F->B->A->C->D,0.011178314223669305,5.582363719865218e-06,20.69088607736071
274,E->F->B->A->D,0.00890620175472357,4.465890975892175e-06,21.66013030065086
275,E->F->B->D,0.00729492964931572,3.7215758132434787e-06,22.422831952091997
276,E->F->D,0.0050483841439966206,2.419024278608261e-06,24.300895219874633
277,E->C->A->B->D->F,0.009928225795638112,5.024127347878696e-06,21.180616382347242
278,E->C->A->B->F,0.008048811308710513,4.093733394567826e-06,22.064057614826496
279,E->C->A->D->B->F,0.010248061901240535,5.21020613854087e-06,21.01095546953188
280,E->C->A->D->F,0.008001516395921435,3.907654603905652e-06,22.28145848803562
281,E->C->D->A->B->F,0.009384746186436844,4.838048557216522e-06,21.35717564925303
282,E->C->D->B->F,0.007773474081028993,4.093733394567826e-06,22.064057614826496
283,E->C->D->F,0.005526928575709893,2.7911818599326087e-06,23.759705598833783
284,E->D->A->B->F,0.007716993109507483,3.907654603905652e-06,22.28145848803562
285,E->D->B->F,0.0061057210040996335,3.163339441256957e-06,23.17433091156903
286,E->D->C->A->B->F,0.009989105578453217,5.024127347878696e-06,21.180616382347242
287,E->D->F,0.0038591754987805336,1.8607879066217391e-06,25.520618189390596
288,E->F,0.003094469994185023,1.4886303252973914e-06,26.35999143270326
289,F->B->A,0.003906470411569611,2.046866697283913e-06,25.074357571466308
